Station ID,Neighborhood,City,Station Type,lat,lon,height,zipcode
IAPELDOO1,van Roekelweg ,Apeldoorn ,Davis Vantage Pro2 (Wireless) ,52.188,5.95,9.0,7339 JB
IUTRECHT23, ,Utrecht ,Alecto WS-4000 ,52.079,5.139,9.0,3582 HE
IASOBIGU2, ,"Meerwijk, Uithoorn ",Davis VP2 Pro ,52.235,4.814,3.0,1423 ST
IGELDERL77,country side ,Silvolde ,automatisch weerstation ,51.912,6.391,18.0,7064 GH
IBRABANT16,veld ,Breda ,Vantaga pro2 Plus ,51.561,4.705,2.0,4838 GB
IDAVISVA3,"Eethen, Noord Brabant ",Eethen ,Davis Vantage Pro2 ,51.738,5.07,1.0,4266 GB
IDRENTHE51,Annen Noord West ,Annen ,Maplin ,53.059,6.711,9.0,9468 GP
IDRENTHE19,Assen North (NAA office) ,Assen ,Davis Vantage Pro 2 ,53.01,6.568,10.0,9402 TP
IDRENTHE29,Weerstation Assen ,Assen ,Davis Vantage Pro 2 Plus ,53.013,6.592,9.0,9403 RW
IDRENTHE52,Beilen ,Beilen ,TFA Nexus Pro ,52.868,6.452,14.0,9411 VC
IDRENTHE32, ,De Kiel , ,52.867,6.742,18.0,7849 PD
IDRENTHE18,"Ruinen, Engeland ",De Wolden ,Davis Vantage Pro2 ,52.767,6.368,12.0,7963 PW
IDRENTHE49,Weerstation Eelde ,Eelde ,Davis Vantage Vue ,53.135,6.57,3.0,9761 BH
IDRENTHE38, ,Een ,Davis Vantage Pro 2 Plus ,53.078,6.379,7.0,9342 TG
IDRENTHE28,Emmen ,Emmen ,Davis Vantage Pro ,52.774,6.965,36.0,7826 GC
IDRENTHE13,Emmen ,Emmen ,Davis Vantage Pro2 (Wireless) ,52.748,6.877,4.0,7827 NP
IDRENTHE26,Sneeuwvink ,Emmen ,Oregon Scientific WMR200 UV ,52.747,6.898,6.0,7827 DN
IDRENTHE33, ,Emmen ,Oregon WMR200 ,52.788,6.939,25.0,7823 BK
IDRENTHE36,Weerstation-Emmen ,Emmen ,La Crosse 3650 ,52.744,6.898,17.0,unknown
IDRENTHE53,Zonkracht ,Emmen ,Oregon Scientific Professional Weather Center ,52.749,6.881,15.0,7827 NW
IDRENTHE46,Gasselternijveenschemond ,Gasselternijveenschemond ,WS-4000 ,52.995,6.898,4.0,9515 PD
IDRENTHE44,Hoogeveen ,Hoogeveen ,Davis Vantage Pro2 Wireless ,52.724,6.516,13.0,7904 JK
IDRENTHE50,Meppel Drenthe ,Meppel ,Davis Vantage Pro2 Plus (Wireless) ,52.696,6.186,2.0,7941 ED
IDRENTHE16,Sleen ,meteo-sleen.nl ,davis vp2 ,52.778,6.798,17.0,7841 BW
IDRENTHE24, ,Norg ,LaCrosse WS2308 ,53.066,6.444,6.0,9331 LX
IDRENTHE47,Rolde ,Rolde ,WH1080 ,52.982,6.65,14.0,9451 GA
IFLEVOLA20,Noorderplassen ,Almere ,Davis Vantage Pro 2 ,52.387,5.184,-3.0,1319 BN
IFLEVOLA27,Almere Buiten ,Almere ,Davis Vantage Pro2 Plus (Wireless) ,52.391,5.284,-3.0,1338 SJ
IFLEVOLA35,Stripheldenbuurt ,Almere ,WS1080 (WH1080) ,52.403,5.313,-6.0,1336 BH
IFLEVOLA25, ,Almere Buitenring ,Davis Vantage Pro2 ,52.408,5.278,-4.0,1335 LE
IFLEVOLA26,Biddinghuizen (Centrum) ,Biddinghuizen ,Davis Vantage Pro 2 ,52.451,5.689,-3.0,8256 CM
IFLEVOLA16,Buitenplaats Veluwemeer ,Biddinghuizen ,Davis Vantage Pro 2 ,52.39,5.641,3.0,8256 TD
IFLEVOLA23,Emmeloord ,Emmeloord ,Davis Vantage Pro2 ,52.704,5.733,-3.0,8303 XD
IFLEVOLA17,Lelystad Golfpark ,Lelystad ,WS3600 ,52.529,5.449,-3.0,8241 AA
IFLEVOLA29,Het weer op Urk ,Urk ,VP2 ,52.664,5.615,0.0,8321 LT
IGLHARDE1,Zeewolde ,Zeewolde ,Davis wm 2 ,52.347,5.517,-4.0,unknown
IFRIESLA51,Appelscha ,Appelscha ,Davis Vantage Pro 2 Wireless ,52.952,6.356,10.0,8426 EB
IFRIESLA39,Bakkeveen ,Bakkeveen ,Str ,53.083,6.261,1.0,9243 KH
IFRIESLA53,Burgum ,Burgum ,WS-4000 ,53.189,5.984,0.0,9251 GK
IFRIESLA72,Heerenveen ,De Knipe ,WH3080 & Raspberry Pi ,52.965,5.998,2.0,8456 HS
IFRIESLA50, ,Dongjum ,Davis Vantage Pro 2 ,53.209,5.545,0.0,8808 HH
IFRIESLA64,Weerstation Goutum ,Goutum ,TFA Primus ,53.181,5.818,0.0,9084 BZ
IFRIESLA43,"Friesland, Nederland ",grou ,Davis Vantage Pro2 (Wireless) ,53.091,5.827,0.0,9001 LE
IFRIESLA19,"Huins, Friesland ",Huins ,Vantage Pro ,53.16,5.667,0.0,8832 KB
